android,genre,review_ratting,size_pro
4.1,16.0,5.0,15.0
4.1,16.0,3.0,15.0
4.1,16.0,5.0,15.0
4.1,16.0,5.0,15.0
4.1,16.0,5.0,15.0
4.1,16.0,5.0,15.0
4.1,16.0,5.0,3.0
4.1,16.0,2.0,3.0
4.1,16.0,3.0,3.0
4.1,16.0,1.0,3.0
4.1,16.0,3.0,3.0
4.1,16.0,5.0,3.0
0.0,16.0,5.0,0.0
0.0,16.0,5.0,0.0
0.0,16.0,4.0,0.0
4.03,16.0,1.0,17.0
4.03,16.0,5.0,17.0
4.03,16.0,1.0,17.0
4.03,16.0,5.0,17.0
4.03,16.0,5.0,11.0
4.03,16.0,5.0,11.0
4.03,16.0,5.0,11.0
4.03,16.0,5.0,11.0
4.1,3.0,4.0,11.0
4.1,3.0,5.0,11.0
4.1,3.0,5.0,11.0
4.1,3.0,3.0,11.0
4.03,19.0,5.0,11.0
4.03,19.0,5.0,11.0
4.03,19.0,4.0,11.0
4.03,19.0,5.0,11.0
4.03,19.0,5.0,11.0
4.4,15.0,4.0,16.0
4.4,15.0,4.0,16.0
4.4,15.0,4.0,16.0
4.4,15.0,5.0,16.0
4.03,15.0,4.0,9.0
4.03,15.0,5.0,9.0
4.03,15.0,3.0,9.0
4.1,11.0,5.0,0.0
4.1,11.0,5.0,0.0
4.1,11.0,3.0,0.0
4.1,11.0,5.0,0.0
4.1,11.0,5.0,0.0
4.1,26.0,2.0,0.0
4.1,26.0,1.0,0.0
4.1,26.0,1.0,0.0
4.1,26.0,1.0,0.0
4.1,26.0,1.0,0.0
4.0,16.0,5.0,11.0
4.0,16.0,5.0,11.0
4.0,16.0,4.0,11.0
4.1,10.0,5.0,5.0
4.1,10.0,5.0,5.0
4.1,10.0,5.0,5.0
4.1,10.0,4.0,5.0
4.03,25.0,5.0,13.0
4.03,25.0,3.0,13.0
4.03,25.0,4.0,13.0
4.03,25.0,1.0,13.0
4.1,3.0,3.0,2.0
4.1,3.0,4.0,2.0
4.1,3.0,5.0,2.0
4.1,16.0,5.0,7.0
4.1,16.0,2.0,7.0
4.1,16.0,3.0,7.0
4.1,16.0,4.0,7.0
4.1,16.0,5.0,7.0
2.3,3.0,5.0,0.0
2.3,3.0,4.0,0.0
2.3,3.0,3.0,0.0
2.3,3.0,1.0,0.0
2.3,3.0,5.0,0.0
4.03,18.0,4.0,16.0
4.03,18.0,1.0,16.0
4.03,18.0,5.0,16.0
4.03,18.0,5.0,16.0
4.03,18.0,3.0,16.0
4.03,18.0,3.0,16.0
4.03,18.0,5.0,16.0
4.1,3.0,4.0,16.0
4.1,3.0,1.0,16.0
4.1,3.0,1.0,16.0
4.1,3.0,5.0,16.0
4.1,3.0,3.0,16.0
4.1,3.0,5.0,16.0
4.03,18.0,5.0,18.0
4.03,18.0,5.0,18.0
4.03,18.0,5.0,18.0
0.0,18.0,2.0,0.0
0.0,18.0,2.0,0.0
0.0,18.0,1.0,0.0
4.1,18.0,5.0,1.0
4.1,18.0,4.0,1.0
4.1,18.0,1.0,1.0
4.1,18.0,5.0,1.0
4.1,18.0,1.0,1.0
4.1,18.0,3.0,1.0
4.1,18.0,2.0,1.0
4.1,18.0,5.0,1.0
4.1,18.0,5.0,2.0
4.1,18.0,5.0,2.0
4.1,18.0,4.0,2.0
4.1,18.0,1.0,2.0
4.1,18.0,5.0,2.0
4.1,18.0,5.0,2.0
0.0,3.0,3.0,0.0
0.0,3.0,5.0,0.0
0.0,3.0,1.0,0.0
4.2,6.0,3.0,6.0
4.2,6.0,4.0,6.0
4.2,6.0,5.0,6.0
4.2,6.0,5.0,6.0
4.2,6.0,5.0,6.0
4.1,3.0,5.0,13.0
4.1,3.0,2.0,13.0
4.1,3.0,5.0,13.0
4.1,3.0,4.0,13.0
4.2,6.0,3.0,0.0
4.2,6.0,5.0,0.0
4.2,6.0,3.0,0.0
4.2,6.0,3.0,0.0
4.2,18.0,4.0,11.0
4.2,18.0,5.0,11.0
4.2,18.0,2.0,11.0
4.2,18.0,5.0,11.0
4.2,18.0,5.0,11.0
4.2,18.0,5.0,11.0
4.1,3.0,2.0,17.0
4.1,3.0,3.0,17.0
4.1,3.0,4.0,17.0
4.1,3.0,5.0,17.0
4.1,3.0,1.0,17.0
4.2,3.0,4.0,9.0
4.2,3.0,1.0,9.0
4.2,3.0,5.0,9.0
4.2,3.0,5.0,9.0
4.2,3.0,5.0,9.0
0.0,1.0,1.0,0.0
0.0,1.0,1.0,0.0
0.0,1.0,1.0,0.0
4.1,1.0,1.0,0.0
4.1,1.0,1.0,0.0
4.1,1.0,1.0,0.0
4.1,1.0,1.0,0.0
4.1,1.0,1.0,0.0
4.1,1.0,5.0,0.0
4.1,1.0,3.0,0.0
4.1,1.0,1.0,0.0
0.0,9.0,4.0,0.0
0.0,9.0,5.0,0.0
0.0,9.0,4.0,0.0
4.03,9.0,1.0,1.0
4.03,9.0,3.0,1.0
4.03,9.0,4.0,1.0
4.03,9.0,4.0,1.0
4.03,9.0,2.0,1.0
0.0,10.0,1.0,0.0
0.0,10.0,5.0,0.0
0.0,10.0,2.0,0.0
0.0,10.0,4.0,0.0
0.0,10.0,3.0,0.0
0.0,10.0,1.0,0.0
0.0,10.0,4.0,0.0
0.0,10.0,5.0,0.0
4.1,10.0,2.0,14.0
4.1,10.0,5.0,14.0
4.1,10.0,5.0,14.0
4.1,10.0,4.0,14.0
4.1,10.0,5.0,14.0
4.1,10.0,3.0,14.0
0.0,10.0,3.0,0.0
0.0,10.0,1.0,0.0
0.0,10.0,2.0,0.0
